region_id,gx,gy,sw_lat,sw_lng,ne_lat,ne_lng
0,139,18,40.49056581157432,-74.25949289804531,40.50862726952147,-74.23596630083827
1,140,18,40.49061673991967,-74.23590275434762,40.50867335993771,-74.21236976835308
2,141,18,40.4906628179797,-74.21231257643267,40.50871459875801,-74.18877320504741
24,139,19,40.508576327519236,-74.25956279907854,40.52663777629937,-74.23602988157383
25,140,19,40.50862726952147,-74.23596630083827,40.526683879073964,-74.212426991094
26,141,19,40.50867335993771,-74.21236976835308,40.52672512895176,-74.18882406976876
27,142,19,40.50871459875801,-74.18877320504741,40.52676152592379,-74.1652211210253
28,143,19,40.50875098597341,-74.16517661434565,40.52679306998217,-74.14161814829082
48,139,20,40.5265868206379,-74.25963273778105,40.54464825848383,-74.236093496582
49,140,20,40.52663777629937,-74.23602988157383,40.54469437361896,-74.21248424468035
50,141,20,40.526683879073964,-74.212426991094,40.54473563455613,-74.18887496190834
51,142,20,40.52672512895176,-74.18882406976876,40.544772041286464,-74.16526565169593
52,143,20,40.52676152592379,-74.1652211210253,40.54480359380202,-74.14165631747312
53,144,20,40.52679306998217,-74.14161814829082,40.54483029209601,-74.11804696266994
61,152,20,40.526870716958165,-73.95279391401182,40.54486912599711,-73.92917179495743
72,139,21,40.54459728916082,-74.25970271418332,40.56265871430488,-74.23615714589047
73,140,21,40.54464825848383,-74.236093496582,40.562704841802606,-74.21254152913707
74,141,21,40.54469437361896,-74.21248424468035,40.562746113801104,-74.18892588148833
75,142,21,40.54473563455613,-74.18887496190834,40.562782530291415,-74.16531020637697
76,143,21,40.544772041286464,-74.16526565169593,40.56281409126565,-74.14169450723581
77,144,21,40.54480359380202,-74.14165631747312,40.56284079671696,-74.11807878749762
78,145,21,40.54483029209601,-74.11804696266994,40.56286264663956,-74.0944630505952
79,146,21,40.544852136162625,-74.0944375907164,40.562879641028736,-74.07084729996139
85,152,21,40.54488126159581,-73.95278119092148,40.562879641028736,-73.92915270003863
86,153,21,40.54486912599711,-73.92917179495743,40.56286264663956,-73.9055369494048
87,154,21,40.544852136162625,-73.9055624092836,40.56284079671696,-73.88192121250239
88,155,21,40.54483029209601,-73.88195303733006,40.56281409126565,-73.85830549276419
98,141,22,40.562704841802606,-74.21254152913707,40.580756564916214,-74.18897682853091
99,142,22,40.562746113801104,-74.18892588148833,40.58079299116818,-74.16535478508786
100,143,22,40.562782530291415,-74.16531020637697,40.580824560602544,-74.14173271759553
101,144,22,40.56281409126565,-74.14169450723581,40.58085127321243,-74.11811062948951
102,145,22,40.56284079671696,-74.11807878749762,40.580873128992046,-74.09448852420537
103,146,22,40.56286264663956,-74.0944630505952,40.58089012793666,-74.07086640517875
104,147,22,40.562879641028736,-74.07084729996139,40.58090227004259,-74.04724427584522
106,149,22,40.562899063193036,-74.02361577123094,40.580911983728924,-74.0
107,150,22,40.56290149096397,-74.0,40.580909555307215,-73.97637786035958
108,151,22,40.562899063193036,-73.97638422876908,40.58090227004259,-73.9527557241548
109,152,22,40.56289177988076,-73.95276846097099,40.58089012793666,-73.92913359482125
110,153,22,40.562879641028736,-73.92915270003863,40.580873128992046,-73.90551147579463
111,154,22,40.56286264663956,-73.9055369494048,40.58085127321243,-73.88188937051049
112,155,22,40.56284079671696,-73.88192121250239,40.580824560602544,-73.85826728240447
113,156,22,40.56281409126565,-73.85830549276419,40.58079299116818,-73.83464521491214
114,157,22,40.562782530291415,-73.83468979362303,40.580756564916214,-73.8110231714691
122,141,23,40.58071528185451,-74.21259884448915,40.59876698613061,-74.18902780305831
123,142,23,40.580756564916214,-74.18897682853091,40.59880342214595,-74.165399387848
124,143,23,40.58079299116818,-74.16535478508786,40.59883500004187,-74.14177094856895
125,144,23,40.580824560602544,-74.14173271759553,40.598861719811566,-74.11814248865952
126,145,23,40.58085127321243,-74.11811062948951,40.59888358144919,-74.09451401155808
127,146,23,40.580873128992046,-74.09448852420537,40.59890058495006,-74.070885520703
128,147,23,40.58089012793666,-74.07086640517875,40.59891273031045,-74.0472570195327
130,149,23,40.580909555307215,-74.02362213964044,40.59892244660035,-74.0
131,150,23,40.580911983728924,-74.0,40.598920017527746,-73.97637148851445
132,151,23,40.580909555307215,-73.97637786035958,40.59891273031045,-73.9527429804673
133,152,23,40.58090227004259,-73.9527557241548,40.59890058495006,-73.92911447929701
