01/01/2016 01:00:00 AM,BATTERY,41.752400042,-87.648154805
01/01/2016 03:46:00 AM,BATTERY,41.865070159,-87.733708009
01/01/2016 04:20:00 AM,BATTERY,41.865439678,-87.728814442
01/01/2016 03:30:00 AM,BATTERY,41.873788251,-87.696916542
01/01/2016 04:25:00 AM,BATTERY,41.854578552,-87.700906123
01/01/2016 04:00:00 AM,CRIMINAL DAMAGE,41.740327387,-87.568493493
01/01/2016 04:06:00 AM,BATTERY,41.876667849,-87.64749365
01/01/2016 02:00:00 AM,BATTERY,41.750538141,-87.634278086
01/01/2016 04:45:00 AM,BATTERY,42.0119912,-87.787227104
01/01/2016 03:00:00 AM,CRIMINAL DAMAGE,41.759574544,-87.655243974
01/01/2016 03:20:00 AM,BATTERY,41.898516209,-87.637246929
01/01/2016 02:00:00 AM,THEFT,41.743088195,-87.601362165
01/01/2016 03:50:00 AM,THEFT,41.732102317,-87.60388659
01/01/2016 04:00:00 AM,BATTERY,41.890831286,-87.63031551
01/01/2016 02:00:00 AM,BATTERY,41.884269714,-87.648925354
01/01/2016 03:30:00 AM,THEFT,41.881609458,-87.657546635
01/01/2016 02:58:00 AM,CRIMINAL DAMAGE,41.88705768,-87.647514742
01/01/2016 02:30:00 AM,BATTERY,41.896106068,-87.69671338
01/01/2016 03:45:00 AM,BATTERY,42.003502457,-87.673186151
01/01/2016 02:30:00 AM,BATTERY,41.652575017,-87.610939215
01/01/2016 03:45:00 AM,ASSAULT,41.686001128,-87.642182051
01/01/2016 02:35:00 AM,BATTERY,42.014802955,-87.686187896
01/01/2016 02:30:00 AM,ASSAULT,41.748356162,-87.634235796
01/01/2016 03:30:00 AM,BATTERY,42.003961292,-87.665690546
01/01/2016 03:05:00 AM,BATTERY,41.924165391,-87.751991106
01/01/2016 05:30:00 AM,BATTERY,41.745878556,-87.597402208
01/01/2016 05:00:00 AM,CRIMINAL DAMAGE,41.740210061,-87.558763038
01/01/2016 04:40:00 AM,BATTERY,41.921680519,-87.698369952
01/01/2016 01:00:00 AM,BATTERY,41.802408813,-87.585176941
01/01/2016 03:30:00 AM,BATTERY,41.9102382,-87.695107123
01/01/2016 05:37:00 AM,BATTERY,41.802678384,-87.616257225
01/01/2016 02:00:00 AM,THEFT,41.947235655,-87.654876316
01/01/2016 05:00:00 AM,THEFT,41.85400252,-87.676505985
01/01/2016 04:02:00 AM,CRIMINAL DAMAGE,41.895675136,-87.628569146
01/01/2016 02:45:00 AM,BATTERY,41.885172377,-87.637024557
01/01/2016 04:15:00 AM,BATTERY,41.888165132,-87.622937212
01/01/2016 03:00:00 AM,CRIMINAL DAMAGE,41.767089837,-87.573879419
01/01/2016 06:20:00 AM,BATTERY,41.963007937,-87.70878443
01/01/2016 06:57:00 AM,BATTERY,41.963649894,-87.710771033
01/01/2016 04:30:00 AM,BATTERY,41.965819052,-87.669361477
01/01/2016 06:35:00 AM,THEFT,41.978991238,-87.659941972
01/01/2016 05:41:00 AM,BATTERY,41.769485611,-87.672438396
01/01/2016 06:00:00 AM,ASSAULT,41.78701723,-87.645505595
01/01/2016 06:13:00 AM,BATTERY,41.975280626,-87.752276703
01/01/2016 05:00:00 AM,BATTERY,41.964111923,-87.7357475
01/01/2016 06:30:00 AM,BATTERY,41.890668766,-87.757892127
01/01/2016 06:45:00 AM,THEFT,41.813902032,-87.624587484
01/01/2016 02:00:00 AM,BATTERY,41.882010503,-87.694532486
01/01/2016 06:00:00 AM,CRIMINAL DAMAGE,41.825123682,-87.61229385
01/01/2016 03:05:00 AM,BATTERY,41.766632904,-87.612864857
01/01/2016 04:00:00 AM,CRIMINAL DAMAGE,41.894958388,-87.753600348
01/01/2016 03:00:00 AM,BATTERY,41.876619193,-87.758087946
01/01/2016 06:00:00 AM,CRIMINAL DAMAGE,41.889326577,-87.757841738
01/01/2016 05:45:00 AM,CRIMINAL DAMAGE,41.883109052,-87.756388233
01/01/2016 06:30:00 AM,BATTERY,41.891626686,-87.757927602
01/01/2016 06:20:00 AM,BATTERY,41.794909863,-87.67311241
01/01/2016 07:26:00 AM,ASSAULT,41.879860127,-87.771384873
01/01/2016 08:05:00 AM,ASSAULT,41.981158978,-87.668385639
01/01/2016 12:01:00 AM,CRIMINAL DAMAGE,41.92482034,-87.761094645
01/01/2016 05:05:00 AM,BATTERY,41.905881059,-87.663903147
01/01/2016 08:25:00 AM,BATTERY,41.938030258,-87.714897847
01/01/2016 04:35:00 AM,ASSAULT,41.753567662,-87.564645811
01/01/2016 03:30:00 AM,BATTERY,41.910494911,-87.676875003
01/01/2016 05:30:00 AM,CRIMINAL DAMAGE,41.777088271,-87.706393768
01/01/2016 06:30:00 AM,BATTERY,41.778512133,-87.693375564
01/01/2016 02:34:00 AM,ASSAULT,41.906240189,-87.729678708
01/01/2016 03:40:00 AM,BATTERY,41.893676531,-87.635628328
01/01/2016 09:10:00 AM,BATTERY,41.869406873,-87.65726397
01/01/2016 08:45:00 AM,THEFT,41.702712085,-87.623392962
01/01/2016 01:00:00 AM,CRIMINAL DAMAGE,41.910469677,-87.751597381
01/01/2016 12:45:00 AM,CRIMINAL DAMAGE,41.701024888,-87.611151551
01/01/2016 01:14:00 AM,BATTERY,41.750066278,-87.554913938
01/01/2016 08:30:00 AM,THEFT,41.912550324,-87.690943546
01/01/2016 08:00:00 AM,THEFT,41.868034106,-87.639215155
01/01/2016 06:00:00 AM,BATTERY,41.802255474,-87.687934974
01/01/2016 06:15:00 AM,CRIMINAL DAMAGE,41.85593673,-87.721122032
01/01/2016 09:05:00 AM,BATTERY,41.845328317,-87.723355509
01/01/2016 08:28:00 AM,BATTERY,41.813161345,-87.696805418
01/01/2016 09:00:00 AM,THEFT,41.863375747,-87.656457451
01/01/2016 12:10:00 AM,CRIMINAL DAMAGE,41.778047465,-87.586387726
01/01/2016 06:45:00 AM,BATTERY,41.897600444,-87.731078723
01/01/2016 03:23:00 AM,BATTERY,41.84882933,-87.640043087
01/01/2016 05:44:00 AM,BATTERY,41.803829917,-87.662413762
01/01/2016 05:30:00 AM,BATTERY,41.914083681,-87.72768328
01/01/2016 05:57:00 AM,CRIMINAL DAMAGE,41.903916853,-87.630487893
